rest_name,ratings,location,num_reviews,city,cuisine_type
Da Dao Cheng Braised Pork On Rice,4.7,Datong,27,Taipei,asian
Da Dao Cheng Braised Pork On Rice,4.7,Datong,27,Taipei,taiwanese
The Jade Lounge,4.9,Songshan,120,Taipei,NA
Driftwood Ximending,4.6,Wanhua,42,Taipei,bars
Driftwood Ximending,4.6,Wanhua,42,Taipei,pubs
Driftwood Ximending,4.6,Wanhua,42,Taipei,bar
Marco Polo,4.5,Da'an,218,Taipei,italian
Marco Polo,4.5,Da'an,218,Taipei,european
ikki (Taipei Dunhua N. Branch),4.3,Songshan,382,Taipei,japanese
ikki (Taipei Dunhua N. Branch),4.3,Songshan,382,Taipei,asian
Wired Chaya (Neihu),4.3,Neihu,47,Taipei,chinese
Wired Chaya (Neihu),4.3,Neihu,47,Taipei,japaneseopen
Wired Chaya (Neihu),4.3,Neihu,47,Taipei,now
Yakitori - Da Zhi,4.4,Zhongshan,328,Taipei,japanese
Yakitori - Da Zhi,4.4,Zhongshan,328,Taipei,asian
KiKi Eslite XinYi Branch,4.2,Xinyi,341,Taipei,chinese
KiKi Eslite XinYi Branch,4.2,Xinyi,341,Taipei,szechuan
Eatogether - Q Square,4.2,Datong,104,Taipei,asian
TGI Fridays,4.2,Zhongzheng,437,Taipei,bar
TGI Fridays,4.2,Zhongzheng,437,Taipei,pub
Yonghe Century Soy Milk King,4.1,Datong,138,Taipei,taiwanese
Sushiro - Taiwan Flagship Restaurant,4.2,Zhongzheng,62,Taipei,japanese
Sushiro - Taiwan Flagship Restaurant,4.2,Zhongzheng,62,Taipei,sushi
Very Thai Restaurant - Nangang CTBC Financial Park Store,4.3,Nangang,132,Taipei,thai
INJOY Seafood HotPot,4.5,Da'an,286,Taipei,seafood
INJOY Seafood HotPot,4.5,Da'an,286,Taipei,asian
Li He Fa Glutinous Oil Rice & Rice Cake Shop,4.4,Datong,80,Taipei,asian
TGI Friday's,4.2,Xinyi,942,Taipei,american
TGI Friday's,4.2,Xinyi,942,Taipei,bar
Tasty Steak (Taipei Roosevelt Branch),4.4,Da'an,213,Taipei,american
Tasty Steak (Taipei Roosevelt Branch),4.4,Da'an,213,Taipei,steakhouse
Moksha indian restaurant,4.7,Shilin,70,Taipei,indian
Moksha indian restaurant,4.7,Shilin,70,Taipei,asian
Grand Hilai Taoyuan Taimou,4.3,Luzhu District,6,Hsinchu,chinese
Grand Hilai Taoyuan Taimou,4.3,Luzhu District,6,Hsinchu,seafood
ShinYeh Japanese Buffet - Zhongmao Shop,4.4,Taoyuan District,907,Hsinchu,japanese
ShinYeh Japanese Buffet - Zhongmao Shop,4.4,Taoyuan District,907,Hsinchu,seafood
Chun Shui Tang (Taoyuan Airport),4.1,Dayuan District,91,Hsinchu,chinese
Chun Shui Tang (Taoyuan Airport),4.1,Dayuan District,91,Hsinchu,asian
Top One Pot ZhongMei,4.4,Zhongli District,297,Hsinchu,chinese
Best01 Tea Garden,4.4,Longtan District,33,Hsinchu,asian
Best01 Tea Garden,4.4,Longtan District,33,Hsinchu,taiwanese
Hotel Kuva Chateau- Tang’s Chinese Restaurant,4.3,Zhongli District,299,Hsinchu,chinese
Hotel Kuva Chateau- Tang’s Chinese Restaurant,4.3,Zhongli District,299,Hsinchu,asian
ikki New Japanese Restaurant (Taoyuan Nanhua),4.4,Taoyuan District,365,Hsinchu,japanese
The Square,3.8,Dayuan District,352,Hsinchu,international
The Square,3.8,Dayuan District,352,Hsinchu,asian
Chiang Fu Yan,4.4,Longtan District,13,Hsinchu,chinese
Chiang Fu Yan,4.4,Longtan District,13,Hsinchu,asian
Our Noodles Garden,4.3,Daxi District,42,Hsinchu,chinese
Our Noodles Garden,4.3,Daxi District,42,Hsinchu,fast
Our Noodles Garden,4.3,Daxi District,42,Hsinchu,food
The Shrimp Daddy - Taoyuan Tonlin Plaza,4.2,Taoyuan District,80,Hsinchu,seafood
Wang Steak (Taoyuan Zhongli Yanping Branch),4.4,NA,217,Hsinchu,steakhouse
Chus Steak,4.4,Zhongli District,34,Hsinchu,french
Chus Steak,4.4,Zhongli District,34,Hsinchu,steakhouse
Da Jiang Wu Hakka Restaurant,4.2,Longtan District,18,Hsinchu,asian
Da Jiang Wu Hakka Restaurant,4.2,Longtan District,18,Hsinchu,taiwanese
Sanhoyan - Taoyuan Gloria Outlet,4,Zhongli District,28,Hsinchu,taiwanese
Wei Fang Chinese Restaurant,4,Dayuan District,88,Hsinchu,chinese
Wei Fang Chinese Restaurant,4,Dayuan District,88,Hsinchu,asian
Hit Western Restaurant - Fame Hall Garden Hotel,4.8,Longtan District,5,Hsinchu,italian
Hit Western Restaurant - Fame Hall Garden Hotel,4.8,Longtan District,5,Hsinchu,american
Eatogether,4.3,Taoyuan District,103,Hsinchu,fusion
Timhowan - Taoyuan Tai Mall Store,4.1,Luzhu District,252,Hsinchu,chinese
Timhowan - Taoyuan Tai Mall Store,4.1,Luzhu District,252,Hsinchu,asian
Homee Kitchen,3.4,Dayuan District,60,Hsinchu,chinese
Homee Kitchen,3.4,Dayuan District,60,Hsinchu,asian
Pine Garden,4.2,Longtan District,12,Hsinchu,chinese
Pine Garden,4.2,Longtan District,12,Hsinchu,contemporary
Great Kuva Thai Food (Hotel Kuva Chateau ),4.4,NA,145,Hsinchu,thai
Yi Nancun Juan Cun Niurou Mian,4,Yangmei District,8,Hsinchu,asian
Yi Nancun Juan Cun Niurou Mian,4,Yangmei District,8,Hsinchu,taiwanese
Eatogether Taoyuan Zhongli Sogo,4.4,Zhongli District,86,Hsinchu,opens
Eatogether Taoyuan Zhongli Sogo,4.4,Zhongli District,86,Hsinchu,in
Eatogether Taoyuan Zhongli Sogo,4.4,Zhongli District,86,Hsinchu,9
Eatogether Taoyuan Zhongli Sogo,4.4,Zhongli District,86,Hsinchu,min
Gudi Kitchen,4.8,Taoyuan District,6,Hsinchu,steakhouse
Gudi Kitchen,4.8,Taoyuan District,6,Hsinchu,international
Xin Mei Long Qu Restaurant,4.8,Xinwu District,4,Hsinchu,asian
Xin Mei Long Qu Restaurant,4.8,Xinwu District,4,Hsinchu,taiwanese
Da Tang Mei Goose Diner,4.2,Longtan District,24,Hsinchu,asian
Da Tang Mei Goose Diner,4.2,Longtan District,24,Hsinchu,taiwanese
Rong Shu Xia Lao a Bo Fresh Braised Bean Curd,4.2,Daxi District,38,Hsinchu,asian
