rest_name,cuisine,ratings,location,num_reviews,city
Wulao Zhongzheng,"Asian, Taiwanese",4.2,Taoyuan District,60,Taoyuan
Ba Fung Hakka Restaurant,"Asian, Taiwanese",3.5,Yangmei District,13,Taoyuan
D3 Bar,,4,Dayuan District,9,Taoyuan
Yi Fan Di Sukiyaki,Japanese,4.2,Taoyuan District,23,Taoyuan
Lai Ma Ma Tofu Pudding,,4,Daxi District,22,Taoyuan
Monet Coffee-Yong An,"Cafe, Fast Food",4.5,Xinwu District,2,Taoyuan
Wonder Garden,Chinese,4.6,Pingzhen District,7,Taoyuan
Lao Sichuan Spicy Hot Pot,"Chinese, Asian",4.1,Taoyuan District,43,Taoyuan
Momo Paradise Zhongli Dajiang,Open now,3.7,Zhongli District,54,Taoyuan
Lanting Moon,"Chinese, Contemporary",5,Longtan District,1,Taoyuan
Ming Shi Fu Seafood,Seafood,4.3,Dayuan District,7,Taoyuan
Pizza Rock Taiwan - Taoyuan Branch,"Italian, American",4.8,Taoyuan District,6,Taoyuan
KaiFun Together - Taoyuan,,4,Taoyuan District,21,Taoyuan
Hong Deng Long Nong Jia Cai Restaurant,,4.2,Longtan District,5,Taoyuan
TGI Fridays Taoyuan,,4.3,Taoyuan District,221,Taoyuan
Sun Dong Bao Niu Pai   Zhong Li Jian Xing,"Steakhouse, Asian",3.6,Zhongli District,8,Taoyuan
Ate Marita Cold Noodle House,"Filipino, Asian",5,Zhongli District,6,Taoyuan
Green Breeze Prairie,Fusion,3.8,Pingzhen District,12,Taoyuan
Yakiyan O-NiKU - Taoyuan Tong Ling,Asian,4.6,Taoyuan District,67,Taoyuan
