rest_name,cuisine,ratings,location,num_reviews,city
Checkers,"Chinese, Asian",3.9,Zhongzheng District,1990,Taipei
Beitou Kagaya,"Japanese, Asian",4,Beitou,65,Taipei
Da Dao Cheng Braised Pork On Rice,"Asian, Taiwanese",4.7,Datong,27,Taipei
The Jade Lounge,NA,4.9,Songshan,120,Taipei
Driftwood Ximending,"Bars & Pubs, Bar",4.6,Wanhua,42,Taipei
Marco Polo,"Italian, European",4.5,Da'an,218,Taipei
ikki (Taipei Dunhua N. Branch),"Japanese, Asian",4.3,Songshan,382,Taipei
Wired Chaya (Neihu),"Chinese, JapaneseOpen now",4.3,Neihu,47,Taipei
Yakitori - Da Zhi,"Japanese, Asian",4.4,Zhongshan District,328,Taipei
KiKi Eslite XinYi Branch,"Chinese, Szechuan",4.2,Xinyi District,341,Taipei
Eatogether - Q Square,Asian,4.2,Datong,104,Taipei
TGI Fridays,"Bar, Pub",4.2,Zhongzheng District,437,Taipei
Yonghe Century Soy Milk King,Taiwanese,4.1,Datong,138,Taipei
Sushiro - Taiwan Flagship Restaurant,"Japanese, Sushi",4.2,Zhongzheng District,62,Taipei
Very Thai Restaurant - Nangang CTBC Financial Park Store,Thai,4.3,Nangang,132,Taipei
INJOY Seafood HotPot,"Seafood, Asian",4.5,Da'an,286,Taipei
Li He Fa Glutinous Oil Rice & Rice Cake Shop,Asian,4.4,Datong,80,Taipei
TGI Friday's,"American, Bar",4.2,Xinyi District,942,Taipei
Tasty Steak (Taipei Roosevelt Branch),"American, Steakhouse",4.4,Da'an,213,Taipei
Moksha indian restaurant,"Indian, Asian",4.7,Shilin,70,Taipei
